scale,maxrank,compression
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
8,11,1.125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
9,11,0.611328125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
10,11,0.330078125
11,11,0.169921875
11,11,0.169921875
11,11,0.169921875
11,11,0.169921875
11,11,0.169921875
11,11,0.169921875
11,11,0.1728515625
11,11,0.1728515625
11,11,0.1728515625
11,11,0.1728515625
11,11,0.169921875
11,11,0.169921875
11,11,0.169921875
11,11,0.169921875
11,11,0.1728515625
11,11,0.169921875
11,11,0.1728515625
11,11,0.1728515625
11,11,0.169921875
11,11,0.1728515625
12,11,0.0888671875
12,11,0.0888671875
12,11,0.0888671875
12,11,0.087158203125
12,11,0.0888671875
12,11,0.0888671875
12,11,0.0888671875
12,11,0.0888671875
12,11,0.0888671875
12,11,0.0888671875
12,11,0.0888671875
12,11,0.087158203125
12,11,0.0888671875
12,11,0.0888671875
12,11,0.0888671875
12,11,0.0888671875
12,11,0.087158203125
12,11,0.0888671875
12,11,0.0888671875
12,11,0.0888671875
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.044677734375
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.0455322265625
13,11,0.044677734375
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.0233154296875
14,11,0.0233154296875
14,11,0.02301025390625
14,11,0.0233154296875
14,11,0.02301025390625
14,11,0.0233154296875
14,11,0.0233154296875
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.02301025390625
14,11,0.0233154296875
15,11,0.011627197265625
15,11,0.01177978515625
15,11,0.01177978515625
15,11,0.011627197265625
15,11,0.01177978515625
15,11,0.01177978515625
15,11,0.01177978515625
15,11,0.01177978515625
15,11,0.011627197265625
15,11,0.01177978515625
15,11,0.01141357421875
15,11,0.01177978515625
15,11,0.01177978515625
15,11,0.01177978515625
15,11,0.01177978515625
15,11,0.01177978515625
15,11,0.01141357421875
15,11,0.011627197265625
15,11,0.01177978515625
15,11,0.011627197265625
16,11,0.005950927734375
16,11,0.0058746337890625
16,11,0.005950927734375
16,11,0.005950927734375
16,11,0.005767822265625
16,11,0.0058746337890625
16,11,0.005950927734375
16,11,0.005950927734375
16,11,0.005950927734375
16,11,0.005950927734375
16,11,0.0058746337890625
16,11,0.005950927734375
16,11,0.005950927734375
16,11,0.005950927734375
16,11,0.005950927734375
16,11,0.005950927734375
16,11,0.005950927734375
16,11,0.0058746337890625
16,11,0.0058746337890625
16,11,0.005950927734375
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.00296783447265625
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.00296783447265625
17,11,0.00296783447265625
17,11,0.0030059814453125
17,11,0.0030059814453125
17,11,0.0030059814453125
18,11,0.00151824951171875
18,11,0.00151824951171875
18,11,0.00151824951171875
18,11,0.001499176025390625
18,11,0.00151824951171875
18,11,0.001499176025390625
18,11,0.00151824951171875
18,11,0.00151824951171875
18,11,0.00151824951171875
18,11,0.001499176025390625
18,11,0.001499176025390625
18,11,0.001499176025390625
18,11,0.001499176025390625
18,11,0.00151824951171875
18,11,0.001499176025390625
18,11,0.00151824951171875
18,11,0.00151824951171875
18,11,0.001499176025390625
18,11,0.001499176025390625
18,11,0.00151824951171875
19,11,0.000766754150390625
19,11,0.000766754150390625
19,11,0.000766754150390625
19,11,0.0007572174072265625
19,11,0.000766754150390625
