method,scale,error,serror,time,rmax,erank
cross,19,1.5302333037146314e-10,5.284654390900249e-13,13.709782963618636,27,0.014179229736328125
TTI,19,2.167272847444652e-15,3.6671329751773565e-17,0.16664528846740723,30,0.01560211181640625
d cross,19,1.7257212669380337e-05,4.1664392014369817e-07,13.725779896602035,31,0.020076751708984375
d TTTI,19,4.253159180538723e-06,1.4261402165088012e-08,0.1669771671295166,39,0.01560211181640625
dd cross,19,7.389272299923211,0.12420682587916104,13.729570990428329,33,0.0232391357421875
dd TTI,19,0.00245143015542109,6.878878275167851e-06,0.1789536476135254,83,0.01560211181640625
cross,20,1.4004441664745265e-10,5.938043434837129e-13,10.229693362489343,27,0.00688934326171875
TTI,20,3.2262388812741257e-13,5.102355024853014e-15,0.16372919082641602,30,0.007831573486328125
d cross,20,5.345570718617232e-06,2.1366484854316523e-07,10.245721528306603,31,0.0099334716796875
d TTTI,20,3.0434580622816112e-06,1.0567252140612489e-08,0.1639080047607422,39,0.007831573486328125
dd cross,20,3.4421895854593894,0.16717321810350178,10.24933142401278,33,0.011579513549804688
dd TTI,20,0.002595801912673233,4.09269056273239e-06,0.17319941520690918,84,0.007831573486328125
cross,21,1.755353147757272e-10,1.3703337629058616e-12,48.92563612293452,30,0.0035829544067382812
TTI,21,3.353949260518007e-13,3.0669061743935855e-15,0.16542792320251465,30,0.003939628601074219
d cross,21,0.00012770002979386872,1.4048677813152705e-06,48.942610810510814,34,0.005150794982910156
d TTTI,21,2.5849284955226567e-06,1.4745854909958664e-08,0.16966557502746582,38,0.003939628601074219
dd cross,21,153.95202464046483,2.726519928598636,48.946373294107616,36,0.006003379821777344
dd TTI,21,0.0026275477384945308,4.008073695461347e-06,0.18074846267700195,85,0.003939628601074219
cross,22,1.5364226058378e-10,6.287974683374136e-13,20.055929464288056,29,0.0018172264099121094
TTI,22,3.370707175173088e-13,3.713191864382204e-15,0.16686201095581055,30,0.0019774436950683594
d cross,22,0.00013833522582997067,6.386260657915176e-06,20.07138900179416,33,0.002650737762451172
d TTTI,22,2.445415234708417e-06,9.888882303625603e-09,0.17069578170776367,38,0.0019774436950683594
dd cross,22,433.03776019094676,8.63742190061551,20.07555536646396,35,0.003108978271484375
dd TTI,22,0.002635494052465224,3.784378408447793e-06,0.1822514533996582,85,0.0019774436950683594
cross,23,1.8349333971302865e-10,1.2962824265467793e-12,27.33209070842713,28,0.0009188652038574219
TTI,23,3.356376107221577e-13,1.5831823573267202e-15,0.1673433780670166,30,0.0009925365447998047
d cross,23,0.00033356905168187723,1.4988957906141387e-05,27.350314470939338,32,0.0013432502746582031
d TTTI,23,2.4173146051238935e-06,1.0789235819583225e-08,0.27606892585754395,38,0.0009925365447998047
dd cross,23,9836.631800998772,93.00614912595897,27.352926108054817,34,0.0015807151794433594
dd TTI,23,0.002635998088275177,5.348524405769248e-06,0.18021869659423828,86,0.0009925365447998047
cross,24,1.6189820604053099e-10,6.278145724662842e-13,39.5824941014871,29,0.0004894733428955078
TTI,24,3.3668007142368157e-13,3.81835657885309e-15,0.16877985000610352,30,0.0005029439926147461
d cross,24,0.00014342472744543612,1.6216200190920477e-05,39.60483106132597,33,0.0007138252258300781
d TTTI,24,2.4062865592109466e-06,8.980807636278207e-09,0.17214751243591309,38,0.0005029439926147461
dd cross,24,47159.088148252835,589.8400800267701,39.60998137947172,35,0.0008393526077270508
dd TTI,24,0.0026359477525672004,3.0750918191962428e-06,0.183211088180542,86,0.0005029439926147461
cross,25,1.646650602066388e-10,6.815547604742428e-13,52.50981094315648,29,0.000295102596282959
TTI,25,3.375553843009861e-13,3.1611856825450053e-15,0.1650385856628418,30,0.00025200843811035156
d cross,25,0.00021663686595757453,7.15200538167857e-05,52.53889872506261,33,0.00044739246368408203
d TTTI,25,2.4021599448638415e-06,9.874678387820483e-09,0.16726064682006836,38,0.00025200843811035156
dd cross,25,368611.4638835358,2778.5185980152146,52.54658176377416,35,0.0005236268043518066
dd TTI,25,0.002637123437811116,3.7205871976141773e-06,0.17610573768615723,86,0.00025200843811035156
cross,26,1.421527536641181e-10,1.0159374938298665e-12,69.49781748279929,30,0.00032514333724975586
TTI,26,3.3431864627161e-13,3.4322641314993003e-15,0.170640230178833,31,0.00013044476509094238
d cross,26,6.865429920793913e-05,2.0138501858476647e-05,69.54429813846946,35,0.0004719197750091553
d TTTI,26,2.406504016123103e-06,7.995446740180384e-09,0.17370033264160156,38,0.00013044476509094238
dd cross,26,538368.989635698,2824.5196711935264,69.55329343304038,37,0.0005316734313964844
dd TTI,26,0.0026356391371892152,2.8953914044939824e-06,0.18417906761169434,86,0.00013044476509094238
cross,27,1.40055932081575e-10,1.1755081039049206e-12,290.12658157758415,58,0.0005144774913787842
TTI,27,3.369284698803036e-13,4.148656161660611e-15,0.17857146263122559,31,6.535649299621582e-05
d cross,27,1.8212722703170133e-05,1.6976708029925798e-05,290.2181438487023,63,0.0006699264049530029
d TTTI,27,2.404084094089646e-06,7.1390773899167594e-09,0.16884803771972656,39,6.535649299621582e-05
dd cross,27,4085121.2097958038,7268.337995863675,290.2294680159539,65,0.0007208734750747681
dd TTI,27,0.0026367838254020724,2.620883989288789e-06,0.17976975440979004,86,6.535649299621582e-05
cross,28,1.399378900873016e-10,6.896203562950556e-13,123.02458989713341,62,0.00031498074531555176
TTI,28,3.372541677668093e-13,3.1836479736763813e-15,0.17259573936462402,31,3.2745301723480225e-05
d cross,28,2.1674142000929637e-05,1.3841954459697494e-05,123.13778746221215,68,0.00043707340955734253
d TTTI,28,2.4018424706158956e-06,1.1771868924071603e-08,0.17567992210388184,39,3.2745301723480225e-05
dd cross,28,19209982.479923405,27365.713126978742,123.14750993344933,70,0.0004662051796913147
dd TTI,28,0.0026356324631268456,2.9462636769401515e-06,0.18629860877990723,87,3.2745301723480225e-05
cross,19,1.506890289954953e-10,7.666083359348811e-13,12.612583564594388,27,0.0134124755859375
TTI,19,2.145295162920532e-15,8.896351684356182e-18,0.16132402420043945,30,0.01560211181640625
d cross,19,1.0269942025428674e-05,4.5905528124488947e-07,12.627409862354398,31,0.01909637451171875
d TTTI,19,4.2505762268535e-06,8.678831470557352e-09,0.16328048706054688,39,0.01560211181640625
dd cross,19,5.723207816602311,0.13165707085461767,12.630825208500028,33,0.022151947021484375
dd TTI,19,0.002449289605863875,3.0376605718420524e-06,0.17397642135620117,83,0.01560211181640625
cross,20,1.5961159454344728e-10,6.681472623674775e-13,34.70375376660377,28,0.007373809814453125
TTI,20,3.2154136385272226e-13,3.278283645130879e-15,0.16450190544128418,30,0.007831573486328125
d cross,20,1.4072313764204634e-05,3.6314762650351464e-06,34.78288727719337,32,0.010492324829101562
d TTTI,20,3.0369381054706947e-06,8.848330401071014e-09,0.169281005859375,39,0.007831573486328125
dd cross,20,8.292564906302069,1.5393813836241443,34.733229217119515,34,0.012182235717773438
dd TTI,20,0.0025982688433445916,3.2807177181251113e-06,0.180525541305542,84,0.007831573486328125
cross,21,1.8985559077370595e-10,5.392828950668755e-13,14.830814046785235,30,0.0036258697509765625
TTI,21,3.3504381337941465e-13,2.1579175793700967e-15,0.1623518466949463,30,0.003939628601074219
d cross,21,0.00019742362295236998,2.4393737751821012e-06,14.85052458755672,34,0.0052089691162109375
d TTTI,21,2.583996151902375e-06,9.284670263614822e-09,0.16643786430358887,38,0.003939628601074219
dd cross,21,243.88734881462892,3.214504406471299,14.854878587648273,36,0.006072998046875
