method,scale,error,time,rmax,erank
cross,11,0.0007966057011295596,25.21318284102017,65,46.965981325502504
cross_int,11,0.00040250522088495984,15.117103172873612,161,86.08450237854747
svd_int,11,0.00040250522088495984,1.3231942653656006,209,86.59873051580156
cross,11,0.0006464732069222278,29.15279201604426,65,46.88775133088504
cross_int,11,0.00039209373846601364,18.976136919751298,163,87.59845976969589
svd_int,11,0.00039209373846601364,1.3276724815368652,209,86.59873051580156
cross,12,0.000864929663223264,37.803863732959144,70,52.10731294606783
cross_int,12,0.00047654324947438127,14.6733088233741,164,83.86414113903129
svd_int,12,0.00047654324947438127,1.3622808456420898,209,83.00711518506598
cross,12,0.0008413556296374498,38.936714826966636,70,52.15653316249732
cross_int,12,0.00044264922346384897,15.171540671319235,163,83.92803841905871
svd_int,12,0.00044264922346384897,1.3383369445800781,209,83.00711518506598
cross,13,0.0007867063901180649,59.140548789000604,75,57.60526215679953
cross_int,13,0.00045259804628176625,15.163462196243927,167,79.73616067972772
svd_int,13,0.00045259804628176625,1.364760160446167,209,79.60914460422443
cross,13,0.0007643995660644704,59.490657561982516,75,57.39817202952437
cross_int,13,0.000451887530352567,15.966915294644423,165,80.1256172013663
svd_int,13,0.000451887530352567,1.4243035316467285,209,79.60914460422443
