Dimension,ERank,MaxRank
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
5,54.149154188736674,128
5,54.149154188736674,128
5,51.92461308609435,128
6,129.43992818669463,373
6,127.86376355150844,372
6,126.9694995365341,374
6,129.43992818669463,373
6,128.21504638380793,375
6,126.73311863980162,372
6,129.55859745812984,374
6,127.98096491035767,373
6,126.9694995365341,374
6,129.67715818611515,375
6,128.09805908995557,374
6,127.0875251917002,375
6,129.55859745812984,374
6,127.86376355150844,372
6,126.85136412149778,373
6,129.55859745812984,374
6,128.09805908995557,374
6,127.20544139236321,376
6,129.55859745812984,374
6,128.09805908995557,374
6,126.9694995365341,374
6,129.2022628174438,371
6,127.98096491035767,373
6,126.9694995365341,374
6,129.79561066795173,376
6,128.21504638380793,375
6,126.9694995365341,374
6,129.55859745812984,374
6,128.09805908995557,374
6,127.20544139236321,376
7,233.98021054184505,571
7,230.44374955848286,543
7,226.15954788649205,543
7,234.57630869097838,574
7,230.07537086083659,543
7,226.48330174261767,544
7,234.0112432649192,572
7,230.3253247668868,545
7,226.67071625777993,545
7,234.2009481422351,573
7,230.220438884382,545
7,226.3766361767889,544
7,234.16994055362673,572
7,230.47662819557314,544
7,225.9386412650765,541
7,234.31123897859968,574
7,230.29242453328237,544
7,226.85449672544564,545
7,232.8802763842435,568
7,230.2131247973684,544
7,226.0057042353635,543
7,234.57630869097838,574
7,230.3716969784681,544
7,226.34676546223162,544
7,234.43505776591698,572
7,230.87809996209958,545
7,226.9278976847319,544
7,234.64796746403707,572
7,230.95751317796456,545
7,226.5304602591799,544
8,337.0409280612045,800
8,332.88670107778034,776
8,326.935295892587,774
8,336.8794794636283,800
8,331.66649918538985,771
8,326.01150126096906,770
8,337.99085640451,800
8,333.22539118151616,774
8,328.7164823587814,779
8,336.77065696824167,800
8,332.3379525898038,774
8,327.4360539855648,776
8,338.40247655490793,806
8,333.1687848544291,777
8,327.94387769892757,775
8,337.4040733610126,800
8,331.4628783715153,771
8,326.7000709476302,772
8,337.38029792425857,806
8,333.4844299990905,779
8,327.39135722512106,776
8,336.2137829386455,798
8,332.1597151816109,773
8,327.21355084869845,774
8,337.67794259369333,798
8,332.39552076612716,772
8,328.86549260745613,779
8,337.33341566742007,800
8,333.4364548353956,776
8,328.1149168262926,774
9,447.9791531620048,1013
9,443.21207455803295,993
9,436.7194779738615,995
9,448.28189507094106,1014
9,443.82290856524605,997
9,438.29197647445255,995
9,446.6242604910315,1013
9,441.1125831274253,990
9,435.63203444793186,992
9,447.7277987528805,1014
9,442.4631091416195,989
9,438.05487739529667,994
9,448.37690601492716,1014
9,442.62886224355105,992
9,436.6861402755736,991
9,447.4723256403113,1010
9,443.0281681186317,987
9,439.08927663730185,994
9,447.38034106642937,1009
9,442.1130974673817,987
9,435.53024875443447,987
9,448.28421482672564,1013
9,443.21496229596795,996
9,437.6771707849715,992
9,446.8065078749077,1010
9,442.8792269477586,987
9,436.270395933904,988
9,446.16152577058733,1008
9,443.20115512889817,990
9,437.42963506053763,993
10,553.4330884134205,1151
10,548.0534024160575,1153
10,542.1350889183385,1123
10,552.503975165059,1148
10,547.5915714959954,1151
10,540.2093040595993,1119
10,551.4186302729653,1149
10,546.5109127839382,1150
10,540.3497643878097,1119
10,552.4916617559618,1155
10,547.3795118881,1150
10,542.0928298976337,1122
10,550.8919461106262,1152
10,547.4119360398015,1154
10,541.1167937836697,1125
10,552.6482575318801,1153
10,548.5470388060916,1153
10,541.081583392828,1119
10,550.9649674520671,1149
10,548.1401580306303,1154
10,541.5393377521217,1123
10,551.4407466714018,1152
10,547.1213223171891,1154
10,541.4649464352246,1124
10,551.3952500410608,1150
10,546.4716061368944,1149
10,541.6224223556409,1119
10,551.9763208999196,1150
10,547.408608901389,1149
10,542.2784090951508,1125
11,660.0083084370254,1364
11,656.4032787125574,1366
11,649.6802846321389,1336
11,660.2195763983245,1369
11,655.2521429415428,1368
11,650.3044793325962,1341
11,662.0005116209073,1372
11,656.9180771786151,1371
11,648.988767298422,1341
11,660.9959496264717,1368
11,656.117017640579,1367
11,650.0979530187402,1338
11,660.1891376529808,1366
11,654.1586490689157,1365
11,648.7643707466295,1337
11,661.5561051424721,1367
11,655.3900148857463,1369
11,650.9608302556122,1341
11,662.6014419503698,1374
11,656.8373473062406,1371
11,647.9218679565125,1335
11,660.3059014504001,1369
11,655.1943225992421,1369
11,649.2686322797597,1341
11,659.1953699644585,1360
11,655.7700831313646,1367
11,648.5754327042952,1333
11,659.5115244401626,1365
11,655.9841665985219,1367
11,650.0200483236532,1339
12,771.4938910249139,1577
12,765.8558320854436,1577
12,757.6432443383281,1547
12,769.7525097867185,1570
12,764.420833402132,1569
12,757.2714265344339,1539
12,772.4095069971542,1574
12,766.4338951620186,1573
12,761.300385162079,1551
12,770.2210255342083,1573
12,763.613136841329,1566
12,759.6989651881386,1545
12,773.5562241924051,1574
12,766.0590493654788,1573
12,757.5591974850969,1539
12,771.2472043154845,1570
12,764.9030733262352,1574
12,758.0877029930202,1546
12,772.6077268222728,1580
12,765.6672727192718,1577
12,758.7129693272232,1545
12,770.4339711383767,1570
12,765.8740153647067,1571
12,759.274565754716,1540
12,772.5056441581671,1578
