method,method_base,method_pretty,scale,n,error_wmean,error_wse
d TTTI,d TTTI,$\partial$ TTTI,19,38.0,4.248684879379466e-06,1.6749576777132805e-09
d TTTI,d TTTI,$\partial$ TTTI,20,38.0,3.0403372879848844e-06,1.7306413392530852e-09
d TTTI,d TTTI,$\partial$ TTTI,21,38.0,2.5823096331074516e-06,1.585346433807391e-09
d TTTI,d TTTI,$\partial$ TTTI,22,38.0,2.4493059588727173e-06,1.375281976083293e-09
d TTTI,d TTTI,$\partial$ TTTI,23,38.0,2.4150863329540792e-06,1.2844202900236394e-09
d TTTI,d TTTI,$\partial$ TTTI,24,38.0,2.4064076395446704e-06,1.2811067861747015e-09
d TTTI,d TTTI,$\partial$ TTTI,25,38.0,2.4036154155009017e-06,1.3181075144359386e-09
d TTTI,d TTTI,$\partial$ TTTI,26,38.0,2.403498998751864e-06,1.3696764244847892e-09
d TTTI,d TTTI,$\partial$ TTTI,27,38.0,2.404027074805912e-06,1.2323661823577812e-09
d TTTI,d TTTI,$\partial$ TTTI,28,37.0,2.404154567249547e-06,1.3780288669609256e-09
d cross,d cross,$\partial$ cross,19,38.0,4.8576120677018275e-06,1.5718641190403654e-08
d cross,d cross,$\partial$ cross,20,38.0,1.341303971009919e-05,6.269034586363125e-08
d cross,d cross,$\partial$ cross,21,38.0,6.491019806923755e-05,1.8791541653712111e-07
d cross,d cross,$\partial$ cross,22,38.0,3.425177208608622e-05,2.9112829818035254e-07
d cross,d cross,$\partial$ cross,23,38.0,0.00010555846306090121,7.533080526512773e-07
d cross,d cross,$\partial$ cross,24,38.0,0.00010007169400566774,9.748948838069915e-07
d cross,d cross,$\partial$ cross,25,38.0,0.00018425926489347473,3.0452452756203272e-06
d cross,d cross,$\partial$ cross,26,38.0,3.323312436680997e-05,1.2924349872754103e-06
d cross,d cross,$\partial$ cross,27,38.0,1.0973703469233492e-06,2.2248587536181234e-07
d cross,d cross,$\partial$ cross,28,37.0,2.879107517015958e-07,2.0849100308980157e-09
dd TTI,dd TTI,$\partial^2$ TTI,19,38.0,0.0024496715495028053,7.19605877223966e-07
dd TTI,dd TTI,$\partial^2$ TTI,20,38.0,0.0025951866557066055,5.846902739009629e-07
dd TTI,dd TTI,$\partial^2$ TTI,21,38.0,0.002626278032321413,5.987888646763817e-07
dd TTI,dd TTI,$\partial^2$ TTI,22,38.0,0.002634082083077772,6.048333234759604e-07
dd TTI,dd TTI,$\partial^2$ TTI,23,38.0,0.0026352570452539215,5.64194746707362e-07
dd TTI,dd TTI,$\partial^2$ TTI,24,38.0,0.0026360889809675667,5.576012489151911e-07
dd TTI,dd TTI,$\partial^2$ TTI,25,38.0,0.002636546937266626,5.648510174475329e-07
dd TTI,dd TTI,$\partial^2$ TTI,26,38.0,0.002636086674055522,5.481903022321051e-07
dd TTI,dd TTI,$\partial^2$ TTI,27,38.0,0.0026359513958996265,5.044699215014969e-07
dd TTI,dd TTI,$\partial^2$ TTI,28,37.0,0.002636760266337533,5.686120725705529e-07
dd cross,dd cross,$\partial^2$ cross,19,38.0,1.0344214779119294,0.003659831610741439
dd cross,dd cross,$\partial^2$ cross,20,38.0,4.169036294412075,0.011764037449673841
dd cross,dd cross,$\partial^2$ cross,21,38.0,72.52453865335002,0.23095971300426038
dd cross,dd cross,$\partial^2$ cross,22,38.0,251.7670263622975,1.223846696473115
dd cross,dd cross,$\partial^2$ cross,23,38.0,2653.006953973267,7.603129196241116
dd cross,dd cross,$\partial^2$ cross,24,38.0,13155.994666768513,21.833916325068763
dd cross,dd cross,$\partial^2$ cross,25,38.0,138043.99410631802,111.35617124321125
dd cross,dd cross,$\partial^2$ cross,26,38.0,637606.8586972492,370.5288913130628
dd cross,dd cross,$\partial^2$ cross,27,38.0,3750479.674069281,1575.1999414771906
dd cross,dd cross,$\partial^2$ cross,28,37.0,17133077.309773996,5094.970933869684
cross,QTT-C,QTT-C,19,38.0,6.995238508827661e-11,7.430056604913731e-14
cross,QTT-C,QTT-C,20,38.0,1.5049404099575115e-10,1.153599043752288e-13
cross,QTT-C,QTT-C,21,38.0,1.6401495063601272e-10,1.2051367197908608e-13
cross,QTT-C,QTT-C,22,38.0,1.571827591685212e-10,1.1755521802368372e-13
cross,QTT-C,QTT-C,23,38.0,1.5809039958744374e-10,1.3704462295239907e-13
cross,QTT-C,QTT-C,24,38.0,1.481855840889228e-10,1.3012977460503546e-13
cross,QTT-C,QTT-C,25,38.0,1.5754641195391894e-10,1.3964159873018437e-13
cross,QTT-C,QTT-C,26,38.0,1.5513206009867917e-10,1.397861622227024e-13
cross,QTT-C,QTT-C,27,38.0,1.4819305627631913e-10,1.380210144985588e-13
cross,QTT-C,QTT-C,28,37.0,1.4103515179500622e-10,1.2376431923391145e-13
TTI,TTI,TTI,19,38.0,2.156946863590758e-15,2.6183435545910656e-18
TTI,TTI,TTI,20,38.0,3.2295806856039885e-13,6.697071974284113e-16
TTI,TTI,TTI,21,38.0,3.352780128345161e-13,5.142538204710115e-16
TTI,TTI,TTI,22,38.0,3.360792461503362e-13,5.387137624036275e-16
TTI,TTI,TTI,23,38.0,3.3661852311167277e-13,5.858826032577046e-16
TTI,TTI,TTI,24,38.0,3.364745566652987e-13,6.002124461383492e-16
TTI,TTI,TTI,25,38.0,3.3575787205199394e-13,5.537630746048112e-16
TTI,TTI,TTI,26,38.0,3.361692771693846e-13,6.013117069129189e-16
TTI,TTI,TTI,27,38.0,3.361499784488528e-13,5.699704631895762e-16
TTI,TTI,TTI,28,37.0,3.3618695375162906e-13,5.967032431848256e-16
